id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,age_group,customer_category,income_group
1,38,Female,99342,90,3,24,Groceries,113.53,Over-thirties,"Great customer","Upper-Mid Income"
2,21,Female,78852,60,2,42,Sports,41.93,"Young adult","Good customer","Middle Income"
3,60,Female,126573,30,2,28,Clothing,424.36,Seniors,"Medium customer",Affluent
4,40,Other,47099,74,9,5,"Home & Garden",991.93,Over-forties,"Good customer","Lower-Mid Income"
5,65,Female,140621,21,3,25,Electronics,347.08,Seniors,"Bad customer",Affluent
6,31,Other,57305,24,3,30,"Home & Garden",86.85,Over-thirties,"Bad customer","Lower-Mid Income"
7,19,Other,54319,68,5,43,Clothing,191.72,"Young adult","Good customer","Lower-Mid Income"
8,43,Male,108115,94,9,27,Groceries,734.56,Over-forties,"Great customer","Upper-Mid Income"
9,53,Male,34424,29,6,7,Sports,951.71,Over-fifties,"Medium customer","Lower-Mid Income"
10,55,Female,45839,55,7,2,Electronics,821.18,Over-fifties,"Good customer","Lower-Mid Income"
11,23,Other,69659,16,7,24,Clothing,434.97,"Young adult","Bad customer","Middle Income"
12,68,Other,30058,91,1,49,Groceries,889.94,Seniors,"Great customer","Lower-Mid Income"
13,29,Female,87461,81,3,27,"Home & Garden",101.07,"Young adult","Great customer","Middle Income"
14,64,Other,33018,46,4,3,Sports,221.35,Seniors,"Medium customer","Lower-Mid Income"
15,33,Male,112260,17,5,8,"Home & Garden",915.89,Over-thirties,"Bad customer","Upper-Mid Income"
16,53,Male,129284,17,6,26,Clothing,225.4,Over-fifties,"Bad customer",Affluent
17,57,Male,102535,29,5,13,Clothing,378.47,Over-fifties,"Medium customer","Upper-Mid Income"
18,22,Male,41849,22,1,31,Sports,844.08,"Young adult","Bad customer","Lower-Mid Income"
19,37,Male,95491,90,6,21,"Home & Garden",454.83,Over-thirties,"Great customer","Upper-Mid Income"
20,31,Male,97103,70,3,17,Groceries,61.3,Over-thirties,"Good customer","Upper-Mid Income"
21,19,Female,82519,13,4,4,"Home & Garden",742.39,"Young adult","Bad customer","Middle Income"
22,22,Male,49077,74,10,47,"Home & Garden",799.31,"Young adult","Good customer","Lower-Mid Income"
23,36,Other,85473,68,1,16,Sports,806.55,Over-thirties,"Good customer","Middle Income"
24,41,Other,81758,87,7,9,Clothing,482.2,Over-forties,"Great customer","Middle Income"
25,69,Female,36140,78,5,39,Sports,508.86,Seniors,"Great customer","Lower-Mid Income"
26,33,Other,141757,60,10,39,Groceries,83.27,Over-thirties,"Good customer",Affluent
27,54,Male,35394,10,9,4,Groceries,124.29,Over-fifties,"Bad customer","Lower-Mid Income"
28,30,Female,50680,19,7,27,Sports,515.88,Over-thirties,"Bad customer","Lower-Mid Income"
29,18,Female,70721,78,7,1,"Home & Garden",191.9,"Young adult","Great customer","Middle Income"
30,23,Male,104106,30,4,20,Electronics,950.56,"Young adult","Medium customer","Upper-Mid Income"
31,36,Other,76756,16,8,27,Clothing,970.06,Over-thirties,"Bad customer","Middle Income"
32,60,Female,45733,69,2,18,Electronics,197.29,Seniors,"Good customer","Lower-Mid Income"
33,29,Male,71951,2,6,47,Electronics,91.94,"Young adult","Bad customer","Middle Income"
34,44,Other,86593,89,4,37,Groceries,76.95,Over-forties,"Great customer","Middle Income"
35,45,Other,43138,54,10,48,Sports,639.22,Over-forties,"Good customer","Lower-Mid Income"
36,30,Female,73464,37,1,6,Clothing,532.51,Over-thirties,"Medium customer","Middle Income"
37,47,Male,108074,78,4,38,Electronics,128.2,Over-forties,"Great customer","Upper-Mid Income"
38,48,Other,81794,89,7,50,Electronics,967.99,Over-forties,"Great customer","Middle Income"
39,31,Female,75392,43,4,29,Sports,88.44,Over-thirties,"Medium customer","Middle Income"
40,22,Male,107057,14,5,41,"Home & Garden",98.86,"Young adult","Bad customer","Upper-Mid Income"
41,23,Male,70723,31,1,48,"Home & Garden",713.33,"Young adult","Medium customer","Middle Income"
42,52,Male,115529,70,2,34,Clothing,192.66,Over-fifties,"Good customer","Upper-Mid Income"
43,35,Male,72179,6,6,45,"Home & Garden",165.18,Over-thirties,"Bad customer","Middle Income"
44,28,Other,62405,79,5,50,"Home & Garden",956.73,"Young adult","Great customer","Middle Income"
45,50,Male,42404,45,4,31,"Home & Garden",753.6,Over-fifties,"Medium customer","Lower-Mid Income"
46,49,Other,94531,28,5,42,Clothing,214.93,Over-forties,"Medium customer","Upper-Mid Income"
47,56,Male,129005,40,6,8,Electronics,355.34,Over-fifties,"Medium customer",Affluent
48,48,Male,76317,94,9,3,Electronics,189.28,Over-forties,"Great customer","Middle Income"
49,19,Other,85309,65,5,10,Sports,28.55,"Young adult","Good customer","Middle Income"
50,68,Female,146519,96,2,18,Groceries,673.79,Seniors,"Great customer",Affluent
51,61,Female,61290,83,9,35,Clothing,110.32,Seniors,"Great customer","Middle Income"
52,24,Female,96082,83,4,36,Sports,589.35,"Young adult","Great customer","Upper-Mid Income"
53,45,Other,134241,73,9,16,Groceries,893.44,Over-forties,"Good customer",Affluent
54,33,Female,45136,84,9,38,"Home & Garden",332.34,Over-thirties,"Great customer","Lower-Mid Income"
55,56,Female,85476,55,2,41,Sports,774.5,Over-fifties,"Good customer","Middle Income"
56,42,Other,73466,50,4,13,Sports,903.07,Over-forties,"Medium customer","Middle Income"
57,63,Other,49607,7,9,20,Electronics,195.34,Seniors,"Bad customer","Lower-Mid Income"
58,49,Female,112198,48,5,24,Sports,843.87,Over-forties,"Medium customer","Upper-Mid Income"
59,43,Female,81595,12,7,1,Electronics,806.26,Over-forties,"Bad customer","Middle Income"
60,21,Female,139387,1,5,7,Clothing,399.58,"Young adult","Bad customer",Affluent
61,23,Male,69133,14,6,7,Groceries,224.86,"Young adult","Bad customer","Middle Income"
62,30,Other,89149,87,10,36,Clothing,174.41,Over-thirties,"Great customer","Middle Income"
63,49,Female,79992,49,8,6,Sports,636.65,Over-forties,"Medium customer","Middle Income"
64,50,Female,85111,31,1,19,Electronics,319.05,Over-fifties,"Medium customer","Middle Income"
65,27,Other,90557,36,2,2,Sports,494.55,"Young adult","Medium customer","Upper-Mid Income"
66,32,Male,100270,69,3,29,"Home & Garden",686.05,Over-thirties,"Good customer","Upper-Mid Income"
67,36,Female,127346,75,5,7,Electronics,335.98,Over-thirties,"Good customer",Affluent
68,43,Female,87807,52,9,41,Clothing,95.08,Over-forties,"Good customer","Middle Income"
69,32,Male,135861,88,5,16,Electronics,103.33,Over-thirties,"Great customer",Affluent
70,49,Other,40936,32,9,49,Sports,495.62,Over-forties,"Medium customer","Lower-Mid Income"
71,23,Female,66376,60,1,18,Electronics,77.73,"Young adult","Good customer","Middle Income"
72,58,Other,56120,30,3,50,Groceries,880.23,Over-fifties,"Medium customer","Lower-Mid Income"
73,31,Female,112452,21,1,5,Groceries,552.21,Over-thirties,"Bad customer","Upper-Mid Income"
74,38,Female,102944,63,8,9,"Home & Garden",92.69,Over-thirties,"Good customer","Upper-Mid Income"
75,58,Other,143037,56,8,42,Groceries,57.57,Over-fifties,"Good customer",Affluent
76,60,Female,131101,68,8,28,"Home & Garden",522.95,Seniors,"Good customer",Affluent
77,49,Male,30708,4,1,36,Groceries,990,Over-forties,"Bad customer","Lower-Mid Income"
78,32,Other,44048,20,7,10,Clothing,41.55,Over-thirties,"Bad customer","Lower-Mid Income"
79,30,Other,95501,27,3,14,Groceries,476.25,Over-thirties,"Medium customer","Upper-Mid Income"
80,68,Other,45092,54,4,40,Electronics,738.6,Seniors,"Good customer","Lower-Mid Income"
81,65,Other,117157,90,9,39,Electronics,812.36,Seniors,"Great customer","Upper-Mid Income"
82,36,Female,148542,60,1,17,Groceries,15.66,Over-thirties,"Good customer",Affluent
83,36,Female,99427,94,8,15,Sports,265.04,Over-thirties,"Great customer","Upper-Mid Income"
84,56,Male,58971,77,9,35,Electronics,13.16,Over-fifties,"Great customer","Lower-Mid Income"
85,19,Male,101100,43,3,14,Clothing,392.36,"Young adult","Medium customer","Upper-Mid Income"
86,31,Other,61849,24,6,31,"Home & Garden",120.8,Over-thirties,"Bad customer","Middle Income"
87,59,Male,47990,3,10,48,"Home & Garden",755.92,Over-fifties,"Bad customer","Lower-Mid Income"
88,31,Male,55100,20,7,31,Sports,59.84,Over-thirties,"Bad customer","Lower-Mid Income"
89,18,Other,105470,8,7,4,Clothing,746.18,"Young adult","Bad customer","Upper-Mid Income"
90,45,Other,63381,80,4,8,"Home & Garden",754.24,Over-forties,"Great customer","Middle Income"
91,32,Other,92089,16,1,47,"Home & Garden",209.86,Over-thirties,"Bad customer","Upper-Mid Income"
92,39,Other,104031,67,6,28,"Home & Garden",930.36,Over-thirties,"Good customer","Upper-Mid Income"
93,65,Male,62792,83,8,11,Electronics,230.58,Seniors,"Great customer","Middle Income"
94,46,Other,113116,7,10,13,Clothing,190.55,Over-forties,"Bad customer","Upper-Mid Income"
95,30,Other,75926,97,10,19,Sports,670.87,Over-thirties,"Great customer","Middle Income"
96,23,Male,108480,46,10,21,Clothing,377.31,"Young adult","Medium customer","Upper-Mid Income"
97,63,Other,102834,31,7,20,Electronics,582.57,Seniors,"Medium customer","Upper-Mid Income"
98,49,Male,46695,99,9,26,Clothing,674.7,Over-forties,"Great customer","Lower-Mid Income"
99,21,Other,105024,45,3,32,Sports,795.84,"Young adult","Medium customer","Upper-Mid Income"
100,26,Female,59496,58,2,50,Clothing,23.33,"Young adult","Good customer","Lower-Mid Income"
101,40,Female,115569,1,2,5,Groceries,241.91,Over-forties,"Bad customer","Upper-Mid Income"
102,18,Male,49346,70,7,38,Groceries,127.14,"Young adult","Good customer","Lower-Mid Income"
103,19,Male,75430,50,7,32,Clothing,532.51,"Young adult","Medium customer","Middle Income"
104,60,Female,142407,4,2,1,Sports,29.58,Seniors,"Bad customer",Affluent
105,20,Other,34982,7,2,45,Clothing,597.15,"Young adult","Bad customer","Lower-Mid Income"
106,55,Female,147187,37,7,27,Electronics,941.67,Over-fifties,"Medium customer",Affluent
107,19,Other,37993,59,6,30,Sports,873.8,"Young adult","Good customer","Lower-Mid Income"
108,65,Male,81753,72,9,21,"Home & Garden",633.63,Seniors,"Good customer","Middle Income"
109,57,Female,81695,90,8,44,Electronics,179.8,Over-fifties,"Great customer","Middle Income"
110,56,Female,40676,86,7,38,"Home & Garden",627.65,Over-fifties,"Great customer","Lower-Mid Income"
111,37,Male,111242,33,5,34,Sports,756.32,Over-thirties,"Medium customer","Upper-Mid Income"
112,64,Male,87006,85,7,20,Clothing,930.73,Seniors,"Great customer","Middle Income"
113,58,Male,82856,33,7,20,Groceries,450.72,Over-fifties,"Medium customer","Middle Income"
114,32,Male,35514,4,5,36,Sports,415.44,Over-thirties,"Bad customer","Lower-Mid Income"
115,64,Male,87595,11,5,21,Electronics,69.78,Seniors,"Bad customer","Middle Income"
116,59,Male,125014,89,7,42,"Home & Garden",451.82,Over-fifties,"Great customer",Affluent
117,62,Male,128322,44,4,31,Electronics,668.91,Seniors,"Medium customer",Affluent
118,62,Male,48693,36,9,44,"Home & Garden",755.67,Seniors,"Medium customer","Lower-Mid Income"
119,33,Male,113154,75,8,46,Groceries,895.58,Over-thirties,"Good customer","Upper-Mid Income"
120,68,Female,78309,12,2,49,Clothing,848.14,Seniors,"Bad customer","Middle Income"
121,47,Female,112072,50,5,21,Groceries,884.19,Over-forties,"Medium customer","Upper-Mid Income"
122,43,Male,42855,66,6,23,Electronics,138.51,Over-forties,"Good customer","Lower-Mid Income"
123,26,Other,55515,29,9,37,Sports,50.57,"Young adult","Medium customer","Lower-Mid Income"
124,30,Male,51454,94,8,17,"Home & Garden",553.35,Over-thirties,"Great customer","Lower-Mid Income"
125,66,Other,69362,58,1,23,Clothing,960.08,Seniors,"Good customer","Middle Income"
126,26,Female,69795,60,9,29,Electronics,389.37,"Young adult","Good customer","Middle Income"
127,58,Male,32860,90,5,18,Sports,405.05,Over-fifties,"Great customer","Lower-Mid Income"
128,40,Other,81037,70,10,45,Electronics,370.75,Over-forties,"Good customer","Middle Income"
129,67,Other,40385,64,1,17,Sports,957.06,Seniors,"Good customer","Lower-Mid Income"
130,61,Female,131607,25,7,26,Clothing,714.15,Seniors,"Bad customer",Affluent
131,51,Male,42337,70,9,28,Sports,914.97,Over-fifties,"Good customer","Lower-Mid Income"
132,67,Female,116124,78,10,28,"Home & Garden",11.29,Seniors,"Great customer","Upper-Mid Income"
133,25,Other,94016,85,8,49,Groceries,764.28,"Young adult","Great customer","Upper-Mid Income"
134,26,Male,62131,91,6,18,Sports,70.56,"Young adult","Great customer","Middle Income"
135,29,Female,100290,85,8,29,Clothing,480.87,"Young adult","Great customer","Upper-Mid Income"
136,31,Male,145261,25,10,37,Sports,378.4,Over-thirties,"Bad customer",Affluent
137,48,Male,81763,49,6,46,Sports,179.25,Over-forties,"Medium customer","Middle Income"
138,67,Female,120561,66,2,21,Clothing,798.2,Seniors,"Good customer",Affluent
139,18,Female,99638,33,8,23,Groceries,316.27,"Young adult","Medium customer","Upper-Mid Income"
140,18,Female,78097,84,3,26,Clothing,453.34,"Young adult","Great customer","Middle Income"
141,23,Other,67237,85,9,40,Electronics,673.02,"Young adult","Great customer","Middle Income"
142,37,Male,61695,13,5,45,"Home & Garden",18.49,Over-thirties,"Bad customer","Middle Income"
143,55,Other,101084,73,9,24,Groceries,624.81,Over-fifties,"Good customer","Upper-Mid Income"
144,41,Female,82613,49,3,10,"Home & Garden",421.24,Over-forties,"Medium customer","Middle Income"
145,44,Other,122987,29,10,25,Electronics,898.68,Over-forties,"Medium customer",Affluent
146,58,Other,90389,17,5,12,Electronics,855.21,Over-fifties,"Bad customer","Upper-Mid Income"
147,69,Male,90929,2,10,29,Electronics,518.7,Seniors,"Bad customer","Upper-Mid Income"
148,47,Female,104517,91,2,6,"Home & Garden",979.41,Over-forties,"Great customer","Upper-Mid Income"
149,34,Other,79949,89,3,19,Groceries,273.34,Over-thirties,"Great customer","Middle Income"
150,54,Male,100745,29,6,42,Clothing,335.15,Over-fifties,"Medium customer","Upper-Mid Income"
151,55,Other,138064,86,5,22,Electronics,368.75,Over-fifties,"Great customer",Affluent
152,45,Female,79721,20,1,1,"Home & Garden",215.41,Over-forties,"Bad customer","Middle Income"
153,43,Male,33030,61,8,40,Groceries,711.04,Over-forties,"Good customer","Lower-Mid Income"
154,30,Other,78653,43,4,2,Electronics,933.73,Over-thirties,"Medium customer","Middle Income"
155,53,Other,146312,58,2,32,Electronics,880.78,Over-fifties,"Good customer",Affluent
156,24,Female,103766,77,4,25,"Home & Garden",663.21,"Young adult","Great customer","Upper-Mid Income"
157,69,Female,51990,59,2,37,Clothing,762.41,Seniors,"Good customer","Lower-Mid Income"
158,61,Other,46738,36,3,26,Groceries,393.6,Seniors,"Medium customer","Lower-Mid Income"
159,58,Other,107818,70,5,24,"Home & Garden",722.18,Over-fifties,"Good customer","Upper-Mid Income"
160,36,Other,83511,28,5,49,"Home & Garden",367.97,Over-thirties,"Medium customer","Middle Income"
161,69,Female,117782,18,1,15,Sports,762.55,Seniors,"Bad customer","Upper-Mid Income"
162,64,Other,122472,75,1,17,Sports,771.33,Seniors,"Good customer",Affluent
163,45,Male,76259,72,5,41,Sports,228.88,Over-forties,"Good customer","Middle Income"
164,60,Other,98771,37,8,42,Sports,520.37,Seniors,"Medium customer","Upper-Mid Income"
165,64,Other,96494,10,4,47,"Home & Garden",184.45,Seniors,"Bad customer","Upper-Mid Income"
166,41,Female,48155,19,10,36,Groceries,566.65,Over-forties,"Bad customer","Lower-Mid Income"
167,18,Other,46707,61,10,16,Clothing,18.6,"Young adult","Good customer","Lower-Mid Income"
168,36,Other,87275,82,9,2,Clothing,14.52,Over-thirties,"Great customer","Middle Income"
169,51,Female,58930,95,5,33,Sports,115.09,Over-fifties,"Great customer","Lower-Mid Income"
170,37,Male,33987,60,8,39,Groceries,975.1,Over-thirties,"Good customer","Lower-Mid Income"
171,21,Male,140801,13,3,43,"Home & Garden",82.88,"Young adult","Bad customer",Affluent
172,19,Male,98446,25,4,34,Groceries,696.59,"Young adult","Bad customer","Upper-Mid Income"
173,56,Female,111754,96,8,38,"Home & Garden",631.06,Over-fifties,"Great customer","Upper-Mid Income"
174,47,Other,66932,89,5,9,"Home & Garden",861.66,Over-forties,"Great customer","Middle Income"
175,33,Female,81766,86,1,16,Sports,160.11,Over-thirties,"Great customer","Middle Income"
176,34,Male,79572,62,2,24,Sports,843.15,Over-thirties,"Good customer","Middle Income"
177,65,Other,123680,30,2,35,Electronics,218.74,Seniors,"Medium customer",Affluent
178,67,Female,130300,75,5,27,Electronics,94.32,Seniors,"Good customer",Affluent
179,45,Female,102050,57,8,39,Groceries,263.93,Over-forties,"Good customer","Upper-Mid Income"
180,48,Male,121325,30,3,35,"Home & Garden",624.36,Over-forties,"Medium customer",Affluent
181,49,Male,76202,83,3,6,Groceries,208.79,Over-forties,"Great customer","Middle Income"
182,40,Male,136323,36,6,25,Electronics,625.28,Over-forties,"Medium customer",Affluent
183,43,Female,32512,95,4,49,"Home & Garden",223.39,Over-forties,"Great customer","Lower-Mid Income"
184,27,Male,63313,8,10,42,Groceries,35.01,"Young adult","Bad customer","Middle Income"
185,41,Female,104337,91,6,27,"Home & Garden",401.63,Over-forties,"Great customer","Upper-Mid Income"
186,40,Other,124138,84,10,41,Groceries,426.62,Over-forties,"Great customer",Affluent
187,35,Male,137307,32,6,24,Electronics,111.27,Over-thirties,"Medium customer",Affluent
188,55,Male,77060,14,2,16,Sports,286.79,Over-fifties,"Bad customer","Middle Income"
189,45,Male,108335,62,1,35,Electronics,940.93,Over-forties,"Good customer","Upper-Mid Income"
190,41,Other,59408,68,1,16,Electronics,504.16,Over-forties,"Good customer","Lower-Mid Income"
191,35,Male,100208,80,2,27,Electronics,23.73,Over-thirties,"Great customer","Upper-Mid Income"
192,63,Other,109506,48,10,50,Electronics,26.85,Seniors,"Medium customer","Upper-Mid Income"
193,69,Female,39509,10,6,27,Groceries,377.66,Seniors,"Bad customer","Lower-Mid Income"
194,69,Male,74519,95,10,42,Clothing,931.51,Seniors,"Great customer","Middle Income"
195,67,Other,31806,79,8,13,Electronics,261.07,Seniors,"Great customer","Lower-Mid Income"
196,48,Male,108550,5,6,35,"Home & Garden",410.05,Over-forties,"Bad customer","Upper-Mid Income"
197,34,Female,56125,66,10,26,"Home & Garden",610.66,Over-thirties,"Good customer","Lower-Mid Income"
198,39,Male,116566,76,9,21,Groceries,32.38,Over-thirties,"Great customer","Upper-Mid Income"
199,45,Female,82014,30,10,15,Groceries,81.91,Over-forties,"Medium customer","Middle Income"
200,63,Female,113240,47,9,22,Clothing,279.96,Seniors,"Medium customer","Upper-Mid Income"
201,45,Male,111788,28,9,49,Groceries,628.43,Over-forties,"Medium customer","Upper-Mid Income"
202,25,Male,30570,16,8,44,Sports,971.09,"Young adult","Bad customer","Lower-Mid Income"
203,66,Other,106631,41,6,9,"Home & Garden",354.46,Seniors,"Medium customer","Upper-Mid Income"
204,49,Male,100258,53,6,27,"Home & Garden",436.43,Over-forties,"Good customer","Upper-Mid Income"
205,27,Male,132541,78,8,42,Electronics,825.01,"Young adult","Great customer",Affluent
206,34,Male,97962,18,3,19,Electronics,947.73,Over-thirties,"Bad customer","Upper-Mid Income"
207,58,Male,48714,75,10,40,Sports,324.91,Over-fifties,"Good customer","Lower-Mid Income"
208,59,Female,70050,62,3,10,Clothing,49.53,Over-fifties,"Good customer","Middle Income"
209,60,Female,124416,24,5,39,"Home & Garden",544.04,Seniors,"Bad customer",Affluent
210,47,Other,93783,24,10,3,Electronics,406.56,Over-forties,"Bad customer","Upper-Mid Income"
211,40,Female,83445,89,7,11,Clothing,356.35,Over-forties,"Great customer","Middle Income"
212,18,Other,54421,20,1,41,"Home & Garden",215.95,"Young adult","Bad customer","Lower-Mid Income"
213,47,Female,121498,29,9,28,Sports,706.37,Over-forties,"Medium customer",Affluent
214,33,Male,84883,43,2,49,"Home & Garden",956.03,Over-thirties,"Medium customer","Middle Income"
215,69,Other,127086,93,4,45,Electronics,339.9,Seniors,"Great customer",Affluent
216,26,Other,133538,27,5,46,Electronics,761.08,"Young adult","Medium customer",Affluent
217,46,Female,82034,19,2,45,Sports,635.93,Over-forties,"Bad customer","Middle Income"
218,55,Female,147024,24,9,16,Electronics,169.79,Over-fifties,"Bad customer",Affluent
219,57,Male,33009,82,9,24,Clothing,563.64,Over-fifties,"Great customer","Lower-Mid Income"
220,69,Male,142216,90,7,29,Electronics,559.73,Seniors,"Great customer",Affluent
221,62,Male,82623,51,8,37,Clothing,155.14,Seniors,"Good customer","Middle Income"
222,67,Other,64134,3,2,26,Clothing,868.18,Seniors,"Bad customer","Middle Income"
223,53,Female,146546,12,6,45,Sports,915.02,Over-fifties,"Bad customer",Affluent
224,51,Female,33665,12,2,2,Groceries,139.07,Over-fifties,"Bad customer","Lower-Mid Income"
225,54,Female,92156,18,7,14,Electronics,238.87,Over-fifties,"Bad customer","Upper-Mid Income"
226,19,Female,51355,48,8,28,"Home & Garden",278.21,"Young adult","Medium customer","Lower-Mid Income"
227,65,Male,89274,71,10,34,Electronics,840.45,Seniors,"Good customer","Middle Income"
228,53,Male,57651,27,7,16,"Home & Garden",345.62,Over-fifties,"Medium customer","Lower-Mid Income"
229,19,Other,52470,90,5,35,Groceries,515.99,"Young adult","Great customer","Lower-Mid Income"
230,56,Male,31154,40,4,25,Electronics,197.54,Over-fifties,"Medium customer","Lower-Mid Income"
231,24,Female,147572,44,7,45,Electronics,204.27,"Young adult","Medium customer",Affluent
232,66,Male,144573,41,7,24,Groceries,66.6,Seniors,"Medium customer",Affluent
233,41,Female,88312,22,6,31,Groceries,212.53,Over-forties,"Bad customer","Middle Income"
234,29,Female,96066,45,7,24,Sports,479.36,"Young adult","Medium customer","Upper-Mid Income"
235,19,Female,41542,21,1,22,Groceries,132.88,"Young adult","Bad customer","Lower-Mid Income"
236,42,Other,66495,79,9,31,Sports,537.66,Over-forties,"Great customer","Middle Income"
237,62,Other,52480,22,3,14,Electronics,821.42,Seniors,"Bad customer","Lower-Mid Income"
238,64,Other,148368,19,4,23,Groceries,949.32,Seniors,"Bad customer",Affluent
239,64,Female,124599,41,9,41,Groceries,924.18,Seniors,"Medium customer",Affluent
240,44,Female,121975,33,6,27,Groceries,640.96,Over-forties,"Medium customer",Affluent
241,41,Female,41748,50,8,5,Sports,35.16,Over-forties,"Medium customer","Lower-Mid Income"
242,31,Female,125501,74,3,18,Electronics,947.76,Over-thirties,"Good customer",Affluent
243,25,Other,109583,6,4,30,Electronics,923.64,"Young adult","Bad customer","Upper-Mid Income"
244,47,Female,108356,84,6,19,"Home & Garden",911,Over-forties,"Great customer","Upper-Mid Income"
245,28,Other,134414,19,5,15,"Home & Garden",922.01,"Young adult","Bad customer",Affluent
246,44,Male,83880,31,6,32,Electronics,464.42,Over-forties,"Medium customer","Middle Income"
247,54,Other,48896,28,9,25,Sports,244.79,Over-fifties,"Medium customer","Lower-Mid Income"
248,28,Other,48383,57,8,35,Sports,17.97,"Young adult","Good customer","Lower-Mid Income"
